trip_id,date,mean_wind,inches_precip,trip_duration_minutes,trip_revenue,day_of_week_type
13453,2020-01-01,9.4,0.9,8.799492067593985,14,WEEKDAY
13454,2020-01-01,9.4,0.9,7.062055646754653,13,WEEKDAY
13455,2020-01-01,9.4,0.9,8.74955203454622,14,WEEKDAY
13456,2020-01-01,9.4,0.9,10.309424592507225,16,WEEKDAY
13457,2020-01-01,9.4,0.9,6.690593176090965,12,WEEKDAY
13458,2020-01-01,9.4,0.9,10.498511383529518,16,WEEKDAY
13459,2020-01-01,9.4,0.9,10.385073131310241,16,WEEKDAY
13460,2020-01-01,9.4,0.9,8.162455883588178,14,WEEKDAY
13461,2020-01-01,9.4,0.9,9.557541694854638,15,WEEKDAY
13462,2020-01-01,9.4,0.9,9.989729502910858,15,WEEKDAY
13463,2020-01-01,9.4,0.9,8.912836776862864,14,WEEKDAY
13464,2020-01-01,9.4,0.9,9.376019517196486,15,WEEKDAY
13465,2020-01-01,9.4,0.9,8.944766146080898,14,WEEKDAY
13466,2020-01-01,9.4,0.9,8.861123898540622,14,WEEKDAY
13467,2020-01-01,9.4,0.9,8.64828706339613,14,WEEKDAY
13468,2020-01-01,9.4,0.9,7.800075292785272,13,WEEKDAY
13469,2020-01-01,9.4,0.9,8.776270626864603,14,WEEKDAY
13470,2020-01-01,9.4,0.9,9.207319423719655,15,WEEKDAY
13471,2020-01-01,9.4,0.9,9.710472430082664,15,WEEKDAY
13472,2020-01-01,9.4,0.9,9.576481334800597,15,WEEKDAY
13473,2020-01-01,9.4,0.9,7.790319717822732,13,WEEKDAY
13474,2020-01-01,9.4,0.9,8.442687100772645,14,WEEKDAY
13475,2020-01-01,9.4,0.9,9.650969060871144,15,WEEKDAY
13476,2020-01-01,9.4,0.9,7.826067523633327,13,WEEKDAY
13477,2020-01-01,9.4,0.9,8.862405551723977,14,WEEKDAY
13478,2020-01-01,9.4,0.9,9.309454731179265,15,WEEKDAY
13479,2020-01-01,9.4,0.9,8.373556191522237,14,WEEKDAY
13480,2020-01-01,9.4,0.9,8.572540704561439,14,WEEKDAY
13481,2020-01-01,9.4,0.9,8.017165648652938,14,WEEKDAY
13482,2020-01-01,9.4,0.9,8.855613201861742,14,WEEKDAY
13483,2020-01-01,9.4,0.9,8.93449563852978,14,WEEKDAY
13484,2020-01-01,9.4,0.9,9.613399169515743,15,WEEKDAY
13485,2020-01-01,9.4,0.9,6.957768881762762,12,WEEKDAY
13486,2020-01-01,9.4,0.9,8.679359866708204,14,WEEKDAY
13487,2020-01-01,9.4,0.9,8.535698681407574,14,WEEKDAY
13488,2020-01-01,9.4,0.9,9.990846952462173,15,WEEKDAY
13489,2020-01-01,9.4,0.9,9.358219122141138,15,WEEKDAY
13490,2020-01-01,9.4,0.9,9.51489503249558,15,WEEKDAY
13491,2020-01-01,9.4,0.9,7.335251434941378,13,WEEKDAY
13492,2020-01-01,9.4,0.9,7.834748661564103,13,WEEKDAY
13493,2020-01-01,9.4,0.9,8.097006834275406,14,WEEKDAY
13494,2020-01-01,9.4,0.9,8.484057990067145,14,WEEKDAY
13495,2020-01-01,9.4,0.9,9.41277938488761,15,WEEKDAY
13496,2020-01-01,9.4,0.9,9.591480182012555,15,WEEKDAY
13497,2020-01-01,9.4,0.9,9.72664840606247,15,WEEKDAY
13498,2020-01-01,9.4,0.9,10.101881696831756,16,WEEKDAY
13499,2020-01-01,9.4,0.9,7.853933926523385,13,WEEKDAY
13500,2020-01-01,9.4,0.9,9.54680436716695,15,WEEKDAY
13501,2020-01-01,9.4,0.9,7.219759644930042,13,WEEKDAY
